0,2900,59
1,4981,29
2,9457,65
3,6130,21
4,1848,56
5,4279,14
6,6243,48
7,3769,33
8,7462,5
9,4348,8
10,7864,24
11,1620,8
12,4633,62
13,5903,41
14,5074,15
15,3189,50
16,2243,45
17,7426,37
18,4088,33
19,6627,8
20,9306,29
21,10836,32
22,4257,8
23,7342,86
24,1077,60
25,6885,22
26,5314,3
27,6014,35
28,6107,53
29,1083,36
30,5355,34
31,5020,45
32,3155,31
33,2949,40
34,2504,12
35,4806,36
36,2852,2
37,6648,30
38,5626,37
39,2665,36
40,5194,13
41,5048,12
42,2968,23
43,5748,34
44,5530,15
45,5942,24
46,1929,26
47,5373,6
48,2995,9
49,5001,31
